name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Toyota Innova,2022,363200.0,46586,Petrol,Dealer,Manual,First Owner,17.55 kmpl,1256 CC,82.46 bhp,175Nm@ 3764rpm,5
Ford Ecosport,2018,182900.0,140880,Diesel,Individual,Manual,First Owner,21.94 kmpl,1134 CC,71.94 bhp,192Nm@ 2270rpm,7
Mahindra XUV500,2018,288800.0,73314,Diesel,Trustmark Dealer,Automatic,Second Owner,17.22 kmpl,1271 CC,127.68 bhp,168Nm@ 3836rpm,8
Mahindra XUV500,2016,157800.0,83535,CNG,Individual,Automatic,Fourth & Above Owner,18.25 kmpl,1180 CC,106.45 bhp,85Nm@ 2702rpm,7
Audi A4,2009,229100.0,103724,Diesel,Individual,Manual,First Owner,13.61 kmpl,2941 CC,246.52 bhp,183Nm@ 2300rpm,7
Mahindra XUV500,2006,83700.0,60279,Diesel,Individual,Manual,Second Owner,20.12 kmpl,1129 CC,108.35 bhp,117Nm@ 3867rpm,7
Honda City,2009,77400.0,111542,Petrol,Dealer,Manual,Second Owner,16.44 kmpl,932 CC,88.88 bhp,60Nm@ 3907rpm,5
BMW 3 Series,2010,172200.0,160229,Diesel,Individual,Manual,Fourth & Above Owner,12.68 kmpl,2824 CC,269.98 bhp,103Nm@ 3106rpm,5
Mahindra XUV500,2021,272800.0,108064,Petrol,Trustmark Dealer,Automatic,Third Owner,15.99 kmpl,1079 CC,114.03 bhp,60Nm@ 2410rpm,7
Tata Nexon,2006,63500.0,147178,Diesel,Trustmark Dealer,Manual,First Owner,22.49 kmpl,941 CC,105.65 bhp,207Nm@ 3104rpm,8
Ford Ecosport,2020,294900.0,124147,Petrol,Individual,Automatic,First Owner,21.4 kmpl,1335 CC,89.25 bhp,61Nm@ 3942rpm,7
Honda City,2012,132400.0,90677,Petrol,Individual,Manual,First Owner,19.74 kmpl,1238 CC,93.18 bhp,190Nm@ 3437rpm,7
Toyota Innova,2018,210900.0,152554,Diesel,Individual,Manual,First Owner,13.25 kmpl,1440 CC,98.61 bhp,135Nm@ 3607rpm,7
Mahindra XUV500,2011,106900.0,69469,Petrol,Dealer,Manual,Third Owner,17.55 kmpl,1421 CC,84.18 bhp,147Nm@ 1950rpm,5
Mahindra XUV500,2008,56700.0,174724,Diesel,Dealer,Manual,Third Owner,18.79 kmpl,1123 CC,86.98 bhp,255Nm@ 1850rpm,5
BMW 3 Series,2011,260800.0,127268,Petrol,Individual,Manual,Second Owner,15.43 kmpl,2732 CC,255.78 bhp,60Nm@ 1727rpm,5
Hyundai i20,2013,98000.0,120555,CNG,Individual,Manual,First Owner,23.05 kmpl,938 CC,59.55 bhp,99Nm@ 2042rpm,5
Audi A4,2023,844000.0,85395,Petrol,Individual,Automatic,Third Owner,13.31 kmpl,2549 CC,273.57 bhp,188Nm@ 3742rpm,8
Tata Nexon,2018,197500.0,104630,Petrol,Individual,Manual,Second Owner,20.92 kmpl,1141 CC,97.26 bhp,166Nm@ 1876rpm,5
Skoda Octavia,2018,279800.0,66099,CNG,Individual,Manual,First Owner,14.45 kmpl,1296 CC,113.63 bhp,60Nm@ 2387rpm,5
Ford Ecosport,2013,117400.0,140764,Diesel,Individual,Manual,First Owner,24.33 kmpl,1078 CC,80.87 bhp,153Nm@ 2285rpm,7
Hyundai i20,2018,135900.0,106250,Petrol,Dealer,Manual,Third Owner,18.69 kmpl,877 CC,70.47 bhp,71Nm@ 2335rpm,5
Toyota Innova,2015,209300.0,107807,Diesel,Individual,Manual,First Owner,15.08 kmpl,1496 CC,117.29 bhp,187Nm@ 1621rpm,5
Honda City,2009,100600.0,87546,Petrol,Individual,Manual,Second Owner,19.41 kmpl,1179 CC,108.72 bhp,122Nm@ 2624rpm,5
Mahindra XUV500,2015,187300.0,80369,Petrol,Dealer,Manual,First Owner,16.36 kmpl,1242 CC,98.72 bhp,135Nm@ 2282rpm,5
Honda City,2021,261200.0,63287,Petrol,Individual,Manual,Second Owner,16.43 kmpl,893 CC,96.09 bhp,108Nm@ 3323rpm,5
Toyota Innova,2018,265400.0,80264,Petrol,Dealer,Manual,Second Owner,18.65 kmpl,1601 CC,126.96 bhp,149Nm@ 2617rpm,7
Toyota Innova,2007,74400.0,98869,CNG,Dealer,Manual,Fourth & Above Owner,14.12 kmpl,1419 CC,131.04 bhp,65Nm@ 2165rpm,7
Mahindra XUV500,2009,96600.0,172989,Diesel,Individual,Manual,First Owner,22.29 kmpl,1364 CC,124.61 bhp,209Nm@ 1819rpm,5
Tata Nexon,2020,244100.0,91189,Diesel,Dealer,Automatic,First Owner,22.98 kmpl,962 CC,74.65 bhp,110Nm@ 3802rpm,7
Audi A4,2007,168200.0,137224,Petrol,Individual,Automatic,Second Owner,13.6 kmpl,2585 CC,236.18 bhp,177Nm@ 1852rpm,7
Skoda Octavia,2008,79300.0,146840,Petrol,Dealer,Manual,Second Owner,22.95 kmpl,1303 CC,100.48 bhp,93Nm@ 2284rpm,5
Honda City,2011,112700.0,110092,Petrol,Individual,Manual,Second Owner,20.17 kmpl,1439 CC,84.94 bhp,60Nm@ 3248rpm,5
Maruti Swift,2023,264100.0,58446,Diesel,Individual,Manual,Second Owner,17.72 kmpl,743 CC,81.33 bhp,190Nm@ 2738rpm,5
Maruti Swift,2007,74600.0,118995,CNG,Individual,Automatic,First Owner,18.8 kmpl,953 CC,74.97 bhp,165Nm@ 1786rpm,7
Tata Nexon,2015,193900.0,82749,Diesel,Individual,Manual,Second Owner,22.29 kmpl,952 CC,134.78 bhp,131Nm@ 2555rpm,5
Toyota Innova,2018,264300.0,104078,Petrol,Dealer,Manual,Second Owner,15.49 kmpl,1497 CC,139.36 bhp,232Nm@ 3853rpm,5
Toyota Innova,2013,149200.0,65077,LPG,Dealer,Manual,Second Owner,14.03 kmpl,1450 CC,100.6 bhp,176Nm@ 2699rpm,7
Hyundai i20,2007,36500.0,166835,Diesel,Trustmark Dealer,Manual,Third Owner,23.19 kmpl,766 CC,56.51 bhp,182Nm@ 3428rpm,7
Hyundai i20,2007,47100.0,181472,Diesel,Individual,Manual,First Owner,17.94 kmpl,769 CC,66.54 bhp,175Nm@ 2733rpm,8
Mahindra XUV500,2014,165000.0,128209,Petrol,Dealer,Automatic,First Owner,15.47 kmpl,1673 CC,90.5 bhp,154Nm@ 2350rpm,7
Maruti Swift,2015,135400.0,100914,Petrol,Individual,Automatic,Third Owner,25.33 kmpl,1075 CC,68.61 bhp,189Nm@ 2865rpm,5
Hyundai i20,2020,279400.0,24018,Diesel,Individual,Automatic,First Owner,18.53 kmpl,778 CC,70.56 bhp,236Nm@ 1708rpm,5
Ford Ecosport,2011,110800.0,157441,Diesel,Individual,Automatic,First Owner,16.28 kmpl,1416 CC,74.72 bhp,214Nm@ 3821rpm,7
Ford Ecosport,2019,260800.0,43963,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1243 CC,85.85 bhp,174Nm@ 2004rpm,7
Ford Ecosport,2008,73500.0,130657,Petrol,Individual,Manual,Second Owner,23.11 kmpl,1160 CC,87.68 bhp,124Nm@ 2455rpm,5
Honda City,2011,91500.0,128255,Petrol,Individual,Manual,Third Owner,22.81 kmpl,1267 CC,82.17 bhp,205Nm@ 1779rpm,7
Honda City,2018,219900.0,102631,Diesel,Dealer,Manual,First Owner,19.63 kmpl,1214 CC,85.13 bhp,146Nm@ 3600rpm,5
Audi A4,2009,198800.0,113290,Petrol,Dealer,Manual,Second Owner,14.67 kmpl,2695 CC,246.89 bhp,123Nm@ 3590rpm,4
Audi A4,2022,771800.0,38557,Diesel,Individual,Manual,Second Owner,15.97 kmpl,2296 CC,271.02 bhp,145Nm@ 2792rpm,7
Skoda Octavia,2012,140100.0,134190,Diesel,Individual,Manual,First Owner,21.74 kmpl,1327 CC,109.89 bhp,157Nm@ 2695rpm,5
Ford Ecosport,2019,201500.0,117844,Diesel,Dealer,Manual,First Owner,17.05 kmpl,928 CC,77.17 bhp,105Nm@ 3895rpm,7
Skoda Octavia,2007,82100.0,118027,Petrol,Individual,Manual,First Owner,22.67 kmpl,1295 CC,77.61 bhp,315Nm@ 1840rpm,5
Skoda Octavia,2009,93500.0,134103,Diesel,Dealer,Manual,First Owner,18.76 kmpl,1504 CC,82.39 bhp,204Nm@ 3266rpm,4
Mahindra XUV500,2013,141400.0,99894,Diesel,Dealer,Automatic,First Owner,18.78 kmpl,1208 CC,91.04 bhp,137Nm@ 2436rpm,7
Mahindra XUV500,2013,112700.0,85714,Diesel,Individual,Manual,Second Owner,20.86 kmpl,1164 CC,84.76 bhp,184Nm@ 2048rpm,8
Tata Nexon,2016,172300.0,83054,Petrol,Individual,Automatic,Second Owner,23.53 kmpl,1037 CC,81.0 bhp,151Nm@ 2519rpm,5
Maruti Swift,2010,68400.0,186608,Diesel,Individual,Manual,First Owner,27.42 kmpl,912 CC,73.17 bhp,204Nm@ 3734rpm,7
Toyota Innova,2023,436600.0,50353,Diesel,Individual,Manual,Second Owner,11.3 kmpl,1136 CC,127.55 bhp,180Nm@ 1628rpm,5
BMW 3 Series,2006,148900.0,121801,Petrol,Individual,Manual,Second Owner,17.27 kmpl,2768 CC,221.79 bhp,130Nm@ 1629rpm,7
BMW 3 Series,2014,368200.0,97684,Diesel,Trustmark Dealer,Manual,First Owner,8.19 kmpl,2853 CC,265.53 bhp,186Nm@ 2530rpm,5
Honda City,2022,351900.0,16614,Petrol,Individual,Manual,First Owner,15.03 kmpl,1290 CC,70.42 bhp,257Nm@ 1593rpm,7
Ford Ecosport,2008,81900.0,78023,Petrol,Dealer,Manual,Second Owner,22.01 kmpl,891 CC,81.99 bhp,170Nm@ 3448rpm,7
Tata Nexon,2010,106900.0,115765,Diesel,Individual,Manual,First Owner,21.27 kmpl,1300 CC,93.4 bhp,221Nm@ 1808rpm,7
Toyota Innova,2021,405100.0,83801,Petrol,Trustmark Dealer,Manual,First Owner,14.76 kmpl,1801 CC,105.2 bhp,135Nm@ 2558rpm,7
Ford Ecosport,2020,167700.0,172765,Diesel,Dealer,Manual,Third Owner,20.65 kmpl,1097 CC,99.86 bhp,131Nm@ 1894rpm,5
Skoda Octavia,2022,314700.0,56682,Petrol,Trustmark Dealer,Manual,First Owner,16.58 kmpl,892 CC,88.36 bhp,85Nm@ 2850rpm,4
Ford Ecosport,2020,226600.0,105908,Diesel,Individual,Automatic,First Owner,21.36 kmpl,1004 CC,65.45 bhp,199Nm@ 3552rpm,7
Honda City,2009,112800.0,104373,Petrol,Individual,Automatic,Second Owner,22.95 kmpl,1398 CC,98.19 bhp,169Nm@ 2883rpm,5
Mahindra XUV500,2020,286000.0,124656,LPG,Individual,Manual,First Owner,22.18 kmpl,1434 CC,100.81 bhp,237Nm@ 2708rpm,8
Hyundai i20,2005,36100.0,120444,Diesel,Individual,Manual,Second Owner,20.99 kmpl,700 CC,54.4 bhp,316Nm@ 1654rpm,5
Ford Ecosport,2015,118000.0,97101,Diesel,Dealer,Manual,First Owner,21.63 kmpl,735 CC,66.3 bhp,264Nm@ 3461rpm,5
Ford Ecosport,2016,183500.0,15180,Petrol,Individual,Manual,Third Owner,14.24 kmpl,1078 CC,91.57 bhp,147Nm@ 2662rpm,5
Tata Nexon,2007,83500.0,118303,Diesel,Individual,Manual,First Owner,19.6 kmpl,990 CC,104.62 bhp,112Nm@ 2841rpm,5
BMW 3 Series,2007,145400.0,186031,CNG,Individual,Manual,Second Owner,14.42 kmpl,2737 CC,287.53 bhp,229Nm@ 2136rpm,5
Honda City,2006,59000.0,151622,Petrol,Individual,Manual,First Owner,17.99 kmpl,1239 CC,69.94 bhp,85Nm@ 2997rpm,5
BMW 3 Series,2014,417500.0,103241,Petrol,Individual,Manual,First Owner,16.35 kmpl,2926 CC,274.51 bhp,177Nm@ 3467rpm,5
Honda City,2013,124300.0,135649,CNG,Dealer,Manual,First Owner,14.23 kmpl,1185 CC,83.27 bhp,95Nm@ 1991rpm,4
BMW 3 Series,2005,130500.0,174172,Petrol,Individual,Manual,Second Owner,13.67 kmpl,2376 CC,252.1 bhp,244Nm@ 3560rpm,7
Honda City,2008,74000.0,145694,Diesel,Individual,Manual,First Owner,17.39 kmpl,887 CC,88.62 bhp,144Nm@ 3643rpm,5
Hyundai i20,2007,45300.0,140784,Petrol,Dealer,Manual,Fourth & Above Owner,19.77 kmpl,1062 CC,73.36 bhp,60Nm@ 3413rpm,5
Mahindra XUV500,2018,284300.0,28048,Diesel,Individual,Manual,First Owner,15.34 kmpl,1332 CC,96.67 bhp,100Nm@ 3174rpm,5
Tata Nexon,2023,293900.0,129578,Diesel,Individual,Manual,Second Owner,21.53 kmpl,1231 CC,85.18 bhp,60Nm@ 2807rpm,5
Ford Ecosport,2023,280600.0,61336,CNG,Dealer,Manual,First Owner,18.91 kmpl,802 CC,66.72 bhp,201Nm@ 3568rpm,5
Honda City,2012,92800.0,115374,Petrol,Individual,Manual,Third Owner,15.11 kmpl,1310 CC,71.74 bhp,208Nm@ 2421rpm,7
Ford Ecosport,2013,119300.0,68360,Diesel,Trustmark Dealer,Manual,First Owner,14.14 kmpl,980 CC,71.57 bhp,191Nm@ 1886rpm,5
Tata Nexon,2020,197000.0,37052,Petrol,Dealer,Manual,First Owner,13.08 kmpl,814 CC,48.36 bhp,249Nm@ 1983rpm,8
Ford Ecosport,2023,272800.0,44672,Petrol,Individual,Manual,Second Owner,11.37 kmpl,784 CC,88.65 bhp,102Nm@ 3864rpm,5
Mahindra XUV500,2017,186600.0,97716,Petrol,Individual,Manual,Second Owner,14.29 kmpl,1130 CC,88.12 bhp,110Nm@ 2376rpm,5
Hyundai i20,2014,110000.0,121170,Petrol,Dealer,Manual,Second Owner,19.33 kmpl,976 CC,66.02 bhp,242Nm@ 1504rpm,4
Ford Ecosport,2016,115600.0,97767,Diesel,Individual,Automatic,Fourth & Above Owner,18.95 kmpl,1110 CC,67.62 bhp,196Nm@ 3098rpm,7
Skoda Octavia,2022,390500.0,78508,Petrol,Trustmark Dealer,Automatic,Second Owner,20.73 kmpl,1135 CC,130.67 bhp,206Nm@ 2581rpm,5
Mahindra XUV500,2007,83200.0,134131,Petrol,Dealer,Manual,First Owner,23.1 kmpl,1266 CC,90.4 bhp,98Nm@ 1566rpm,7
Tata Nexon,2022,391400.0,28408,Diesel,Individual,Manual,First Owner,15.87 kmpl,1005 CC,100.27 bhp,224Nm@ 2339rpm,5
Ford Ecosport,2005,41400.0,126757,Petrol,Individual,Manual,Fourth & Above Owner,24.41 kmpl,1196 CC,64.03 bhp,270Nm@ 3730rpm,5
Mahindra XUV500,2023,419000.0,43886,Petrol,Individual,Manual,First Owner,13.56 kmpl,1577 CC,82.76 bhp,245Nm@ 3377rpm,4
Hyundai i20,2015,134500.0,43862,Petrol,Individual,Automatic,Third Owner,18.51 kmpl,968 CC,68.38 bhp,86Nm@ 1897rpm,5
Audi A4,2005,126300.0,163811,Diesel,Individual,Manual,First Owner,13.86 kmpl,2222 CC,221.6 bhp,139Nm@ 2768rpm,5
Hyundai i20,2018,97900.0,102173,Diesel,Individual,Automatic,Third Owner,20.91 kmpl,700 CC,38.55 bhp,183Nm@ 2556rpm,5
Honda City,2005,58000.0,154117,Diesel,Individual,Automatic,First Owner,18.28 kmpl,1087 CC,81.03 bhp,201Nm@ 1558rpm,5
Honda City,2009,112300.0,91549,Petrol,Individual,Manual,First Owner,16.92 kmpl,1130 CC,95.51 bhp,204Nm@ 3195rpm,8
Honda City,2006,54700.0,146149,Petrol,Dealer,Manual,Second Owner,19.28 kmpl,1125 CC,88.25 bhp,85Nm@ 2905rpm,5
Skoda Octavia,2012,130900.0,69672,CNG,Individual,Manual,Second Owner,19.81 kmpl,997 CC,119.23 bhp,160Nm@ 3904rpm,7
Hyundai i20,2007,55900.0,110699,Petrol,Dealer,Manual,First Owner,22.1 kmpl,813 CC,66.38 bhp,161Nm@ 2476rpm,5
Tata Nexon,2019,211800.0,43929,Diesel,Individual,Manual,Fourth & Above Owner,22.53 kmpl,1081 CC,99.37 bhp,169Nm@ 2808rpm,7
Ford Ecosport,2018,177700.0,136950,Diesel,Dealer,Manual,Third Owner,17.98 kmpl,1274 CC,91.26 bhp,78Nm@ 2887rpm,7
Hyundai i20,2016,120600.0,159090,Petrol,Trustmark Dealer,Automatic,First Owner,18.11 kmpl,734 CC,59.57 bhp,131Nm@ 3812rpm,5
Tata Nexon,2013,128800.0,92090,Diesel,Individual,Automatic,Third Owner,16.58 kmpl,1302 CC,80.59 bhp,110Nm@ 2982rpm,5
Tata Nexon,2006,66000.0,169453,Petrol,Individual,Manual,First Owner,23.69 kmpl,1500 CC,101.73 bhp,207Nm@ 1994rpm,7
Skoda Octavia,2008,97300.0,149731,Diesel,Dealer,Manual,First Owner,19.37 kmpl,1363 CC,109.86 bhp,145Nm@ 2906rpm,7
Ford Ecosport,2023,399500.0,71530,Petrol,Dealer,Automatic,Third Owner,19.62 kmpl,1620 CC,103.12 bhp,189Nm@ 2380rpm,5
Ford Ecosport,2010,73600.0,70812,LPG,Individual,Manual,First Owner,18.28 kmpl,862 CC,62.68 bhp,261Nm@ 1990rpm,7
Hyundai i20,2016,141600.0,111721,Petrol,Individual,Manual,First Owner,24.33 kmpl,920 CC,68.55 bhp,60Nm@ 3146rpm,8
Skoda Octavia,2005,56400.0,169407,Petrol,Trustmark Dealer,Manual,Second Owner,23.12 kmpl,1380 CC,106.18 bhp,151Nm@ 1774rpm,7
Hyundai i20,2014,137900.0,130775,Diesel,Dealer,Manual,First Owner,25.36 kmpl,1212 CC,77.08 bhp,75Nm@ 3260rpm,5
Tata Nexon,2015,119900.0,121231,Petrol,Dealer,Manual,Third Owner,16.19 kmpl,871 CC,96.82 bhp,60Nm@ 2784rpm,5
Audi A4,2009,227200.0,116138,Diesel,Individual,Automatic,First Owner,15.58 kmpl,2463 CC,252.14 bhp,192Nm@ 3710rpm,5
Hyundai i20,2008,69100.0,151249,Diesel,Dealer,Manual,First Owner,21.91 kmpl,1099 CC,75.77 bhp,155Nm@ 1632rpm,5
Ford Ecosport,2018,197000.0,130385,Petrol,Individual,Manual,First Owner,21.42 kmpl,1270 CC,79.02 bhp,122Nm@ 3240rpm,5
Mahindra XUV500,2017,201800.0,101250,Diesel,Dealer,Manual,First Owner,16.02 kmpl,1033 CC,87.01 bhp,82Nm@ 2243rpm,5
Hyundai i20,2016,104600.0,90679,Petrol,Individual,Manual,Second Owner,18.84 kmpl,934 CC,39.9 bhp,123Nm@ 3707rpm,5
Hyundai i20,2010,80800.0,151911,Diesel,Dealer,Manual,Second Owner,14.85 kmpl,1290 CC,76.81 bhp,180Nm@ 3667rpm,5
Maruti Swift,2010,60200.0,161855,Petrol,Individual,Automatic,First Owner,24.77 kmpl,700 CC,45.27 bhp,213Nm@ 2112rpm,7
BMW 3 Series,2015,434400.0,96655,Diesel,Individual,Manual,First Owner,14.05 kmpl,2851 CC,257.29 bhp,60Nm@ 2070rpm,5
Honda City,2013,152400.0,87593,Diesel,Individual,Manual,First Owner,18.45 kmpl,1179 CC,83.4 bhp,114Nm@ 2082rpm,7
Skoda Octavia,2007,104100.0,127901,Petrol,Individual,Manual,Second Owner,18.57 kmpl,1703 CC,108.03 bhp,164Nm@ 2840rpm,7
Honda City,2020,301800.0,75549,Diesel,Individual,Manual,First Owner,23.57 kmpl,1012 CC,113.23 bhp,204Nm@ 3319rpm,5
Audi A4,2009,310000.0,104307,Petrol,Individual,Automatic,First Owner,16.87 kmpl,2978 CC,297.75 bhp,65Nm@ 3947rpm,5
Mahindra XUV500,2013,137500.0,109204,Diesel,Individual,Manual,First Owner,16.13 kmpl,1134 CC,90.12 bhp,77Nm@ 1617rpm,7
Audi A4,2013,370600.0,48602,Diesel,Individual,Manual,Second Owner,16.74 kmpl,3000 CC,271.41 bhp,90Nm@ 3600rpm,5
BMW 3 Series,2016,483700.0,104046,Petrol,Individual,Manual,First Owner,11.1 kmpl,3000 CC,242.19 bhp,214Nm@ 3205rpm,7
Tata Nexon,2013,140800.0,150040,LPG,Dealer,Manual,First Owner,22.19 kmpl,1199 CC,101.26 bhp,206Nm@ 2083rpm,5
Hyundai i20,2017,173500.0,50192,Petrol,Individual,Manual,First Owner,22.88 kmpl,985 CC,50.66 bhp,118Nm@ 3705rpm,7
Ford Ecosport,2006,61700.0,104709,Petrol,Dealer,Manual,First Owner,17.22 kmpl,944 CC,69.05 bhp,60Nm@ 3871rpm,5
BMW 3 Series,2019,631600.0,44898,Petrol,Dealer,Manual,Second Owner,13.27 kmpl,2731 CC,268.94 bhp,167Nm@ 3827rpm,7
Toyota Innova,2014,141900.0,137611,Diesel,Dealer,Manual,Third Owner,13.06 kmpl,1167 CC,125.83 bhp,129Nm@ 1674rpm,5
Skoda Octavia,2013,141400.0,103252,Petrol,Individual,Manual,Second Owner,19.84 kmpl,1157 CC,120.07 bhp,188Nm@ 3133rpm,5
Mahindra XUV500,2017,285500.0,54530,Diesel,Individual,Manual,First Owner,20.42 kmpl,1515 CC,103.87 bhp,112Nm@ 2979rpm,8
Tata Nexon,2008,88000.0,123824,Diesel,Individual,Automatic,First Owner,22.92 kmpl,1442 CC,65.22 bhp,179Nm@ 3552rpm,5
Audi A4,2016,528800.0,68663,Petrol,Dealer,Manual,First Owner,11.9 kmpl,2454 CC,287.75 bhp,143Nm@ 3895rpm,5
Mahindra XUV500,2016,145200.0,123691,LPG,Individual,Manual,Second Owner,18.67 kmpl,1102 CC,83.3 bhp,67Nm@ 1633rpm,7
Mahindra XUV500,2023,325200.0,40272,Diesel,Dealer,Manual,Second Owner,16.82 kmpl,1053 CC,79.98 bhp,105Nm@ 2616rpm,5
Ford Ecosport,2008,70900.0,102645,Petrol,Trustmark Dealer,Manual,Second Owner,19.81 kmpl,1121 CC,99.63 bhp,253Nm@ 3086rpm,5
Audi A4,2005,108900.0,123479,Diesel,Individual,Manual,Fourth & Above Owner,11.29 kmpl,2678 CC,274.72 bhp,119Nm@ 2149rpm,7
Hyundai i20,2017,98100.0,101234,Diesel,Dealer,Manual,Second Owner,16.49 kmpl,700 CC,38.03 bhp,257Nm@ 3120rpm,7
Skoda Octavia,2010,111700.0,144166,Petrol,Dealer,Automatic,First Owner,22.84 kmpl,1143 CC,107.52 bhp,220Nm@ 2781rpm,5
BMW 3 Series,2020,747500.0,58186,Diesel,Individual,Manual,First Owner,11.4 kmpl,2767 CC,255.07 bhp,60Nm@ 2954rpm,7
Skoda Octavia,2023,295300.0,132590,Petrol,Individual,Manual,Second Owner,17.96 kmpl,1097 CC,115.11 bhp,313Nm@ 2496rpm,7
Skoda Octavia,2022,421500.0,58433,Diesel,Individual,Manual,First Owner,17.01 kmpl,1471 CC,109.25 bhp,114Nm@ 2215rpm,7
Honda City,2006,63400.0,94009,Petrol,Individual,Automatic,First Owner,19.97 kmpl,1115 CC,44.21 bhp,162Nm@ 3460rpm,7
Maruti Swift,2019,138800.0,55091,Diesel,Individual,Manual,Second Owner,15.15 kmpl,700 CC,43.37 bhp,191Nm@ 3983rpm,7
Mahindra XUV500,2016,166600.0,111487,Diesel,Trustmark Dealer,Manual,First Owner,12.62 kmpl,1135 CC,76.76 bhp,186Nm@ 1563rpm,5
Hyundai i20,2016,145900.0,108002,Diesel,Trustmark Dealer,Manual,Second Owner,13.78 kmpl,870 CC,93.48 bhp,104Nm@ 3398rpm,5
Skoda Octavia,2006,71600.0,121579,Diesel,Individual,Manual,Second Owner,14.45 kmpl,1351 CC,95.13 bhp,140Nm@ 1994rpm,5
BMW 3 Series,2022,734200.0,120059,Diesel,Individual,Manual,First Owner,14.91 kmpl,2575 CC,265.9 bhp,129Nm@ 2065rpm,5
Toyota Innova,2021,436300.0,46325,Diesel,Individual,Manual,First Owner,23.83 kmpl,1392 CC,127.69 bhp,74Nm@ 3836rpm,4
Maruti Swift,2022,260400.0,54987,Petrol,Dealer,Manual,Second Owner,23.05 kmpl,706 CC,86.19 bhp,154Nm@ 2649rpm,5
BMW 3 Series,2018,444700.0,79271,Petrol,Individual,Manual,Third Owner,12.65 kmpl,2641 CC,268.44 bhp,146Nm@ 2085rpm,5
Audi A4,2023,778100.0,53652,Diesel,Individual,Manual,Third Owner,15.01 kmpl,2559 CC,260.26 bhp,128Nm@ 2435rpm,5
Toyota Innova,2019,197200.0,107610,Petrol,Individual,Manual,Fourth & Above Owner,22.8 kmpl,1485 CC,113.7 bhp,144Nm@ 3218rpm,5
BMW 3 Series,2007,200100.0,104205,Petrol,Individual,Manual,Second Owner,14.71 kmpl,3000 CC,266.71 bhp,68Nm@ 1966rpm,5
Honda City,2008,73100.0,103883,LPG,Individual,Manual,Second Owner,24.85 kmpl,1111 CC,78.61 bhp,141Nm@ 3871rpm,5
Mahindra XUV500,2015,167300.0,78531,Diesel,Dealer,Manual,First Owner,19.29 kmpl,1268 CC,66.96 bhp,193Nm@ 2246rpm,5
Skoda Octavia,2016,136900.0,146913,Diesel,Individual,Manual,Second Owner,19.4 kmpl,1113 CC,103.33 bhp,175Nm@ 3768rpm,5
Honda City,2019,213100.0,119376,Petrol,Individual,Manual,First Owner,21.58 kmpl,1186 CC,80.7 bhp,121Nm@ 3038rpm,7
Mahindra XUV500,2020,316700.0,30978,Diesel,Individual,Manual,First Owner,20.15 kmpl,1042 CC,100.55 bhp,154Nm@ 2421rpm,5
Honda City,2019,266800.0,59838,Petrol,Trustmark Dealer,Manual,First Owner,20.27 kmpl,1065 CC,91.57 bhp,86Nm@ 1798rpm,7
Honda City,2009,79300.0,83344,Petrol,Individual,Manual,Second Owner,19.26 kmpl,779 CC,82.94 bhp,112Nm@ 2774rpm,7
Hyundai i20,2014,116500.0,89770,Petrol,Dealer,Automatic,First Owner,22.97 kmpl,700 CC,59.97 bhp,121Nm@ 2229rpm,7
Ford Ecosport,2017,177600.0,97306,Petrol,Dealer,Manual,First Owner,19.27 kmpl,927 CC,87.31 bhp,161Nm@ 2596rpm,5
Toyota Innova,2014,169200.0,89588,Diesel,Individual,Manual,Second Owner,22.37 kmpl,1254 CC,121.05 bhp,60Nm@ 2131rpm,5
BMW 3 Series,2006,155700.0,167083,Diesel,Dealer,Manual,First Owner,14.9 kmpl,2573 CC,254.01 bhp,126Nm@ 3794rpm,5
Skoda Octavia,2018,175000.0,165473,Petrol,Individual,Manual,Third Owner,16.52 kmpl,1203 CC,101.74 bhp,253Nm@ 3979rpm,5
Maruti Swift,2017,116500.0,105275,Petrol,Individual,Manual,Second Owner,21.56 kmpl,739 CC,58.26 bhp,141Nm@ 2122rpm,7
Hyundai i20,2021,212500.0,111420,Diesel,Individual,Manual,Second Owner,18.25 kmpl,1039 CC,72.85 bhp,249Nm@ 3137rpm,7
Hyundai i20,2005,37700.0,164843,Petrol,Individual,Manual,Fourth & Above Owner,19.16 kmpl,754 CC,84.41 bhp,203Nm@ 1727rpm,7
Audi A4,2013,358300.0,125865,Petrol,Individual,Automatic,First Owner,14.58 kmpl,2930 CC,239.02 bhp,235Nm@ 3981rpm,5
Mahindra XUV500,2019,268700.0,48505,CNG,Dealer,Manual,Second Owner,23.25 kmpl,1435 CC,90.78 bhp,85Nm@ 1991rpm,5
Audi A4,2005,139300.0,121530,Diesel,Individual,Manual,Second Owner,11.16 kmpl,2815 CC,268.76 bhp,97Nm@ 2390rpm,5
Ford Ecosport,2015,179400.0,102679,CNG,Dealer,Manual,First Owner,20.52 kmpl,1148 CC,114.6 bhp,271Nm@ 2889rpm,5
Mahindra XUV500,2005,57800.0,144019,Petrol,Individual,Manual,First Owner,19.07 kmpl,1349 CC,83.88 bhp,143Nm@ 3397rpm,5
BMW 3 Series,2008,248900.0,68093,Diesel,Dealer,Manual,First Owner,15.09 kmpl,2726 CC,267.22 bhp,129Nm@ 2986rpm,7
